Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Engineering/Computer Science,Man,White,18,,,,"Sad,Scared,Angry",Voting,,3,,,No,I do not remember,Strongly agree,Strongly agree,Neutral,3,Once a week,Once a week,Never,Very important,Very important,Very important,Very important,Important,Important,Very important,Moderately important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Arts & Humanities,Man,Asian,20,No,I do not remember,3rd party,Hopeful,Community engagement,,3,,,Yes,No,Somewhat agree,Strongly disagree,Strongly disagree,7,Once or twice a month,Once a week,Never,Important,Important,Important,Moderately important,Moderately important,Very important,Important,Moderately important,Slightly important,Slightly important,Not important,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,"Sad,Other",Community engagement,,,No; I do not know how,Mostly Democrats,Yes,Yes,Strongly agree,Somewhat agree,Somewhat disagree,5,Once or twice a month,Once a week,Once or twice a year,Important,Very important,Very important,Important,Moderately important,Very important,Important,Moderately important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Asian,18,,,,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Strongly agree,Somewhat disagree,Somewhat disagree,3,Every couple of days,Every day,Once a week,Important,Very important,Very important,Very important,Moderately important,Very important,Important,Very important,Very important,Very important,,,Moderately knowledgeable,Slightly knowledgeable
Arts & Humanities,Man,Mixed Race,23,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,1,Every day,Every day,Every couple of days,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Mexican American/Chicanx,23,Yes,Polling station,Clinton,Sad,Volunteering,,,No; I do not know how,Mostly Democrats,No,Yes,Somewhat agree,Somewhat agree,Neutral,3,Every couple of days,Every couple of days,Once or twice a year,Very important,Important,Moderately important,Very important,Moderately important,Moderately important,Not important,Important,Important,Moderately important,Moderately important,None,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Decline to state,White,23,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,,Yes; it was counted,Only Democrats,Yes,I did not have class that day,Somewhat agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Every couple of days,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Business,Woman,Asian,20,Yes,Polling station,Clinton,Scared,Community engagement,,3,Yes; it was counted,Mostly Democrats,No,No,Somewhat agree,Neutral,Somewhat disagree,3,Once or twice a year,Once a week,Once or twice a month,Important,Important,Important,Important,Moderately important,Moderately important,Important,Important,Important,Important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,Mexican American/Chicanx,19,,,,Angry,Voting,,2,No; I did not check,Mostly Democrats,No,No,Strongly agree,Neutral,Somewhat disagree,5,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mixed Race,20,Yes,Polling station,Clinton,"Scared,Angry",Community engagement,,,No; I did not check,Mostly Democrats,Yes,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,3,Every day,Every day,Once or twice a month,Important,Very important,Very important,Very important,Important,Important,Moderately important,Very important,Very important,Very important,Very important,Education ,Extremely knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Extremely knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Other Hispanic/Latinx,21,Yes,Polling station,Clinton,Hopeful,Community engagement,,1,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Education,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,White,20,Yes,Polling station,3rd party,"Sad,Scared",Volunteering,,,,,No,Yes,Somewhat agree,Neutral,Strongly agree,4,Once or twice a year,Once or twice a month,Never,Important,Important,Very important,Important,Important,Important,Very important,Very important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,Other Hispanic/Latinx,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,1,Yes; it was counted,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,1,Every couple of days,Every day,Once or twice a month,Important,Very important,Important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Not important,,Moderately knowledgeable,Very knowledgeable
Arts & Humanities,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,I do not remember,I did not have class that day,Somewhat agree,Strongly agree,Somewhat disagree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,Other Hispanic/Latinx,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,3,No; I do not know how,Only Democrats,Yes,No,Neutral,Strongly agree,Somewhat disagree,2,Once or twice a year,Once or twice a year,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,25+,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Other,"All of the above are equally important, for me, I volunteer, vote, and do community engagement. If I had to chose, I'd say voting.",1,Yes; it was counted,Only Democrats,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,I put not important for this one because I can't think of another issue....,Very knowledgeable,Extremely knowledgeable
Arts & Humanities,Man,Mexican American/Chicanx,18,,,,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,1,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Sad,Scared",Volunteering,,,,,No,No,Neutral,Neutral,Neutral,3,Never,Never,Never,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Slightly important,Slightly important,Moderately important,Moderately important,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,19,,,,Other,Community engagement,,4,,,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,5,Once or twice a year,Once a week,Never,Very important,Very important,Moderately important,Moderately important,Important,Very important,Very important,Moderately important,Important,Moderately important,Moderately important,,Slightly knowledgeable,Slightly knowledgeable
Business,Woman,Mixed Race,18,,,,Sad,Voting,,2,No; I do not know how,Only Democrats,No,No,Strongly agree,Somewhat agree,Strongly agree,3,Every couple of days,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,Very important,mental healtj,Very knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Other,20,Yes,Provisional ballot,Clinton,Sad,Community engagement,,3,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,1,Every day,Every day,Every couple of days,Important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,Asian,19,,,,Sad,Community engagement,,,,,Yes,I did not have class that day,Strongly agree,Somewhat disagree,Strongly disagree,5,Once a week,Every couple of days,Never,Moderately important,Moderately important,Important,Very important,Not important,Very important,Slightly important,Very important,Very important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,22,,,,,Community engagement,,,,,I do not remember,I do not remember,Somewhat disagree,Neutral,Neutral,4,Once or twice a month,Once a week,Never,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Not knowledgeable at all
Social Sciences,Man,Decline to state,21,Yes,Absentee / mail ballot,Clinton,Angry,Other,dont know,1,No; I do not know how,Mostly Democrats,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,3,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,19,,,,"Sad,Scared,Angry",Community engagement,,3,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Neutral,2,Every day,Every day,Every day,Very important,Important,Very important,Important,Important,Very important,Very important,Very important,Very important,Very important,Very important,,Extremely knowledgeable,Very knowledgeable
